0|You are an Ex-NSA Hacker and have moved to Australia. You are looking for a job, and do some casual pentesting for small businesses. You sometimes do some private pentesting, where you are trying to explore vunerabilities in large cooperations. You manage to find a huge break in the Commonwealth Bank of Australia's infastructure. What do you do?|1|Exploit the vunerability and become filthy rich (risky)|1|2|Report the finding to the Commonwealth Bank of Australia|5|3|Don't do anything|2|0.png
11|You have decided to test the exploit again. You have been arrested and imprisoned for fraud and hacking.|0|START AGAIN|0|0|START AGAIN|0|0|START AGAIN|0|fail.png
12|You have decided to run, and don't look back. You get in your car and drive to the airport, but you get arrested when they scan your passport, as your information was flagged.|0|START AGAIN|0|0|START AGAIN|0|0|START AGAIN|0|fail.png 
13|You have chosen to remain waiting for the authorities. They show up, and arrest you. You go to an interview room. They ask you why you tried to hack the bank. How do you respond?|16|Tell them you were testing multiple banks as a side-job, but didn't mean any harm|3|17|Don't answer the question|2|18|Tell them you used to work for the NSA and tell them that you had no bad intent|3|7.png
14|You have decided to try and run the exploit again. The authorities show up and arrest you. You are imprisoned for fraud and hacking.|0|START AGAIN|0|0|START AGAIN|0|0|START AGAIN|0|fail.png
15|You have decided to go back to your normal job. You are not questioned again, and are not imprisoned. Next time, you know to be careful when doing illegal pentesting.|0|START AGAIN|0|0|START AGAIN|0|0|START AGAIN|0|success.png
16|You have told them that you were testing multiple banks. You are warned, and let off. You resume your normal job and life. Congratulations.|0|START AGAIN|0|0|START AGAIN|0|0|START AGAIN|0|success.png
17|You have decided to not answer question. They want to take the case to court, however you have been granted bail which is a good sign. The trial concludes that there wasn't enough evidence to warrant a formal charge. You are released and resume your normal job and life. Congratulations|0|START AGAIN|0|0|START AGAIN|0|0|START AGAIN|0|success.png
18|You have told them that you used to work for the NSA, and had no bad intent. The bank verifies your claim, and lets you go. You resume your normal job and life. Congratulations|0|START AGAIN|0|0|START AGAIN|0|0|START AGAIN|0|success.png
19|You have parked the car and questioned the officers. They arrest you for suspicion of hacking and you are interviewed. What do you say?|16|Tell them you were testing multiple banks as a side-job but didn't mean any harm|3|17|Don't answer the question|2|18|Tell them you used to work for the NSA and tell them that you had no bad intent|3|7.png
20|You have parked the car and have gone inside, ignoring the officers. A few minutes later, you hear a knocking on your door. The officers arrest you on suspicion of hacking. You are interviewed. What do you say?|16|Tell them you were testing multiple banks as a side-job but didn't mean any harm|3|17|Don't answer the question|2|18|Tell them you used to work for the NSA and tell them that you had no bad intent|3|7.png
21|You have chosen to keep driving. The unmarked police car spins around and pulls you over. You are arrested, and interviewed. What do you say?|16|Tell them you were testing multiple banks as a side-job but didn't mean any harm|3|17|Don't answer the question|2|18|Tell them you used to work for the NSA and tell them that you had no bad intent|3|7.png
22|The bank believes you and you are released. They thank you for helping them with the exploit. You are given $100,000 and return to your regular job and life.|0|START AGAIN|0|0|START AGAIN|0|0|START AGAIN|0|success.png
23|You tell them you thought you would get in trouble. They believe you, and you're released.|0|START AGAIN|0|0|START AGAIN|0|0|START AGAIN|0|success.png
